txt	label
Bon dieu, je viens juste de regarder en train de faire le groupe ... pourquoi il devait le faire sortir! J'étais tellement triste pour l'aube	0
Merci pour le conseil! Non ff pour nous ce week-end.	0
Hey ... sur votre barre latérale sous "adresse web" Là-bas ----- & gt; Votre adresse Web est une mauvaise page de blog	0
Regrette instantanément de manger de la mini pizza. J'aurais aimé que j'avais le temps ce matin de faire le déjeuner à 1 milliard de kilomètres plus tard?	0
Nicky! Donner un cri à kinzie afin que je puisse aller au lit une fille heureuse ce soir! Haha:] s'il vous plaît? Oh s'il te plait? Ktbspa & lt; 3	1
Se sent bien mieux après avoir travaillé au travail ... er wtf?	1
Qu'est-ce qui se passe avec mes yankees, vous plaisantez-vous?	0
Cela m'arrive toujours de ne pas être juste pour que vos espoirs soient abattus sur une base quotidienne ...	0
Tellement fatigué d'être au chômage. Les derniers emplois étaient si variés dans ce qu'ils voulaient ... j'ai eu de l'expérience dans tous les domaines sauf 1, choisissez quelqu'un d'autre	0
... inondé au travail. pas cool.	0
J'ai manqué le jeu du printemps en raison de la pluie, je voulais vraiment que mes enfants le voient.	0
Avez-vous vu ce lien? Moi pense que vous pourriez l'aimer	1
Hehe maintenant je peux lui envoyer des tweets tout le temps	1
Boo je suis désolé les yeux stupides ... pourquoi sont-ils si importants de toute façon?	0
Je serai ravi de vous donner l'écureuil dans la maison de jenny si vous vous joignez à nous. un écureuil. Il va tuer deux oiseaux avec une pierre!	1
J'ai toujours mal à la tête, je ne peux pas avoir d'ibroprofène ou de codéine alors que je souffre de l'estomac, grrrrr, les enfants de retour à l'école bientôt sur le versant	1
Se demandant où sont tous mes amis à cette heure? Réveillez-vous . . .	1
Merci, le sketch ne fonctionnera bien que si ma appréciation de la phrase "être génial est d'être mal compris". & Quot; Dans ce cas, nous sommes géniaux.	1
Qu'est-ce que tu fais en Allemagne? J'espère que vous avez passé un bon moment là-bas	1
Ouais, je me suis souvenu de lire à ce sujet, je pense que quelqu'un d'autre l'a mentionné. Il y a encore une place sur le marché	1
Je deviens fou au travail. Je veux un nouveau travail ...	0
J'ai une grande semaine devant moi ... et je me suis réveillé malade.	0
Nah pas vraiment, le sentiment de revenir sur	0
hmmm bed, bonne nuit tweeterers or whatever you want to be named	1
Trop d'internet. Comment me plaint-il	0
C'est tard et je ne peux pas dormir. Je me suis énervé ... pas bon. Tôt le matin et une longue journée devant moi ... j'espère dormir bientôt !!!	0
Je ne peux pas aller au cinéma !!	0
Hey doll, désolé d'entendre parler de votre chien de chien, espérons qu'il rentre chez lui bientôt! Vous aiderait à regarder si je n'étais pas si loin!	0
Pouah. Ce premier «maintenant» devrait être un «savoir». C'est votre faute pour me faire rester en retard le lundi	1
Essayant de comprendre Twitter, je ne l'ai pas compris	0
Je pense que j'ai besoin d'une séance de porcins. Brb!	1
Avait prévu d'aller à Miami, mais Christina a changé d'avis! Ne veulent pas rester en Grèce pour Pâques	0
Je me suis joint ... maintenant, mon amour pour vous est complet ...	1
Je ferai de mon mieux, merci	1
tu es tellement génial	1
Non, ils ne l'avaient pas	0
A souffert d'un mal de tête pendant 3 jours et il ne faut pas déranger les cours	0
Il ne s'agit pas de travailler dur, il s'agit de travailler sma	1
Awh, bien, être capable de le faire est assez bon pour moi, je suis toujours en train de décider de la pizza, nous verrons quand la journée se rapproche	1
Oy vey. Enfilez une fourchette en moi, j'ai fini, et ce n'est même pas encore 10 heures ... travaillez jusqu'à 4:30 w-ho-rah!	0
Je suis ébranlé. Je manquerais le défilé de sirène cette année, j'ai eu du plaisir en fou en 08. C'est le 20 juin, au cas où tu veux aller.	0
J'ai vraiment apprécié la réaction de Chris à notre camarade idiot nous a donné 6 jours supplémentaires pour y réfléchir	1
Merci, je n'ai même pas sur lequel il allait être ... dommage que nous ne puissions pas le voir chanter	0
Twitter est-ce qu'une autre dépendance? Est-ce que je vais avoir besoin d'une thérapie pour contrôler ma dépendance Twitter? Hmmmm	1
Tnx sur votre réponse quel est le prix de l'abonnement mondial, pas en ligne tnx	1
Il est presque temps pour moi de faire une sortie pour vous avoir alors	1
Laissant simcoe, à guelph pour écrire la finale chimique, puis. . . liberté!!!!!!	1
Heyyy girl avez-vous entendu les entretiens que j'ai mis sur myspace de dd comme des commentaires? Vous devriez aller vérifier! 3 vids ensemble!	1
Traîné dans Lakewood.	1
Souhaite qu'il ne soit pas malade	0
Trouver un twitter	1
Même chose, mais malheureusement, je dois emballer maintenant	0
Aller au bowling; Et brûlé par le soleil	0
Désolé, vous ne vous sentez toujours pas bien	0
Non, ahm .. preps for props	1
Aujourd'hui était très amusant	1
Maux de tête et travail de chantier = enfer misérable	0
A besoin d'une nouvelle veste mais ne peut en trouver	0
Prob my fav jusqu'à présent	1
Donc brûlé par le soleil! Mais quelle journée fantastique à cheval et à jouer avec plus de 20 chiens (et celui qui a décidé de se dépêcher après avoir roulé en haie de la boue)	1
Dit bonne nuit	1
Déteste la révision	0
lol merci. Il est prononcé lees-ul.	1
Tweetdeck semble être mort sur moi doit trouver une plate-forme Twitter fiable. des idées?	0
tu es un malade!!!!	1
Bienvenue & amp; content de te voir!	1
Mon meilleur ami amy arrive aujourd'hui pour avoir nettoyé la maison et je dois trouver mon ampli de câble	0
Pensé que vous pourriez être prêt aujourd'hui	1
J'adore le piano! Ma mère a joué, et c'est ma musique préférée. Je reprendrais, mais mes doigts sont trop arthritiques.	0
moi non plus! Idk, certaines personnes sont simplement jalouses	0
Été chasse au travail aujourd'hui pas de chance peut-être la prochaine fois	1
Dépoussiérage et repassage à mon agenda	0
Wooooooooo enfin j'ai eu une alimentation sur winamp je suis sorti pendant toute une heure d'effinité	0
Mais je ne peux pas comprendre comment y arriver / retour / payer pour un hôtel, etc.	0
Je dois me réveiller en 5 heures laameeee	0
Ils ont tué un personnage sur l'un de mes spectacles préférés et maintenant je suis contrarié	0
Oui, c'est gentil, je pense que je l'ai fait correctement. Cela coûte cependant des sommes!	0
Je pense que si je clique sur le mot & quot; reply & quot; Cela me donne une nouvelle fenêtre de ce que vous répondez. Je vais le faire maintenant.	1
Juste regardé sept livres ... quel triste ce film	0
En regardant l'oprah dont j'avais enregistré depuis plus tôt! C'est à propos de Twitter aujourd'hui!	1
Lol, je pense que mon email est lent à obtenir un courrier aujourd'hui	1
Quelles couleurs de votre chambre de lit -0 Je suis vraiment intéressé par mes amis et je fais des paris, alors qu'est-ce que tu pourrais me dire s'il te plaît, merci xx	1
quelle? Pourquoi? Noooooooo - mais je connais quelqu'un qui en a besoin si vous ne pouvez pas aller	0
Je ne peux pas attendre jusqu'à ce que le nouveau film Star Trek sort, ça va bien	1
Est à la maison et dîne de délicieux doigts de poisson	1
Pouvez-vous prétendre que j'ai tweeté quelque chose de très profond et significatif?	1
Est seul.	0
Aurait fait basculer la prévision, jusqu'à ce qu'un dernier lot de précipitations nese plus que 0,01 " Dans la première heure. Je ne peux pas faire mes points fml	0
Je suis tellement excité à cette nouvelle idée. Yay	1
Dis-le! Sérieusement, cela suce ...	0
Ici au tribunal ... souhaite-moi chance	1
C'est très agréable aujourd'hui! faire une promenade.	1
Oh mon Dieu. Comment quelque chose d'aussi simple que Twitter est-il si compliqué?	1
Est coincé entre 2 mondes. Lequel est le bon? Je pense que je sais, mais ... peut-on être moi jusqu'à ce que ce soit plus que lol	0
J'avais souhaité que ce n'était pas 24 h le matin. Le sommeil est génial, le travail n'est pas, et j'ai besoin de frotter mon apt!	0
J'ai encore un mal de tête, c'est une semaine	0
Ouaip. Je suis au travail. Je suis sur le milieu de la nuit.	0
Je suis allé au mauvais spectacle, il n'y avait pas de ligne conga en ohio.	0
La tentative de loto a échoué à nouveau cette nuit-là! *je suis charmé*	0
... et bien sûr ... j'ai accès à mon pack de carte mythique halo 3 à nouveau ... mais de mauvaises nouvelles ... pas le légendaire pack de cartes ... ugh .. 600ms ...	0
Se sent chaud, déteste la météo!	0
Fooooool je viens juste de voir ce soir et j'aimerais que ça puisse aller au spectacle thurs aussi	0
En attente de la livraison du téléphone de remplacement - 9-1.00 oh joie	0
Se préparer pour la nuit avec mon bf.	1
Va réviser, faire de l'exercice, puis se récompenser d'un peu effronté d'Edward Cullen. Mmmmmm ....	1
Je ne peux pas changer mon biog de mon mobile éviscéré! Besoin de changer cela, des idées?	0
* Est désabusé dans tout ce qu'il croyait une fois *	0
Je suis toujours en place et amp; Je ne peux pas dormir	0
Je baise looooooove britney !!!! Fermer la balle sans ballades !!! Secouez ce poon pour nous, hahahah	1
Juste regardé la répétition de zain challenge ... smakids !! Je me sens si blonde quel jour et amp; Le temps passe-t-il en tz, n'importe qui?	0
Goodnight fellas bien que je sois aussi près de dormir que le gouvernement. Est de réformer le contrôle des armes à feu. Ergo, pas proche	1
J'ai eu le jour le plus aléatoire de plaisir. Je ne peux pas en croire déjà. Maintenant, je ne peux pas attendre demain, sauf que ça va pleuvoir ... booooo	0
: / Je sais que c'est mauvais et sera douloureux, mais je veux vraiment que la chirurgie de la mâchoire, suce que les accolades ne peuvent même pas réparer ma sous-morsure.	0
Au bureau, faisant du travail irritant pour le pire client que j'ai jamais eu. Vous ne pouvez pas choisir votre projet si votre employé.	0
Au 60e anniversaire des grands-parents. Je me demande si et je pourrai y arriver un jour. Il est sûr que ce serait bien	1
J'ai eu une nouvelle robe aujourd'hui, j'ai tellement besoin d'argent. Quelqu'un a-t-il besoin d'acheter un rein ou quelque chose comme ça? Je vais vous donner une réduction Twitter ... eww sry	1
Ici à travailler à travers les journaux de piège snmp .... 2 heures de plus et je suis hors d'ici ... n'a pas pu étudier	0
Oui! Fm, la meilleure façon d'écouter la radio sera très triste si elle est éteinte. J'aime dab, mais fm ... * soupir *	1
Malheureusement, pas beaucoup de dames de lollipop sur les 400miles de l'autoroute que j'ai conduit = p, je suis allé seul	0
Si l'un d'entre vous a une pâque ennuyeuse, envoyez-moi une note sur msn, j'aime discuter avec les gens. Mon msn est ninaalbertsen.com	1
Oui merci, merci	1
Haha rosie, je dis des mots comme 'totes' 'deffs' 'possibs' etc. principalement bcos je suis paresseux et je ne peux pas être dérangé de dire le mot entier!	1
Travaillant sur une belle journée	0
Oui!!!!!! Je ne peux pas attendre pour voir, j'aurais pu être un extra mais je ne pouvais pas arriver à toronto	0
J'ai vu les petits coups de caleb pour la première fois ce matin	1
Avoir un jour de détente en l'aimant	1
Malheureusement pas; La plaine d'inondation de Nottingham tout le chemin. Il y a quelques collines, mais elles sont minuscules	0
Est-ce que vous allez faire plus d'app pour les points dans la boutique? Je pense que 800 points de respect pour ou seraient parfaits	1
Les adeptes du matin! J'ai finalement changé mon nom de Twitter ... seulement un jour après je l'ai dit à l'origine, je voudrais. Ne peut pas filmer aujourd'hui. Va essayer demain	0
Est-ce que vous vous rendez à l'enterrement de votre grand-mère si vous quittez votre conjoint et votre conjoint? Enfant malade pendant 2 jours? Pas sûr de ce qu'il faut faire.	0
G2g au travail	0
C'est ok, j'ai un filet d'oeil venant environ 6 minutes	1
Quelqu'un a cité des graffitis qu'ils ont vu à sydney sur facebook - "dieu déteste les homos!" "Ouais, mais a-t-il aimé le tabouhli?" C'est génial !!!!!	1
J'ai besoin d'être encore plus proche. J'ai encore demain et la plupart du jeudi au travail. Pas assez proche pour faire la panique non plus!	1
... quelle baise? tricot? Hahahaha. Je t'aime le sucre	1
tellement vrai. Tho odo est très sexy comme il l'est. ;) Et je suis sûr que nerys est d'accord.	1
Je pense que mes cheveux sont amincissants	0
Mon jour de congé va aller acheter un taureau rouge	1
Eye candy & lt; 3 chris est fou impressionnant et sexy dans cette chanson, même avec Emma et bien sûr, jose comme toutes les autres chansons	1
A eu une explosion avec la pièce et le karaoké! Il est maintenant temps de rattraper le sommeil et les devoirs.	0
Votre nouvelle colonne sur ppc () est freakin killer, la meilleure chose que j'ai lu depuis longtemps	1
Les feux d'artifices disparaissent au nouveau stade, butte kitty regarde par la fenêtre & amp; Grognant sur eux. Échec de l'engin de garde	1
Maintenant, c'est comme un refroidisseur de 20 degrés.	0
Beau style de halpert!	1
- C'est une telle superstar, obtenez-le!	1
Presque 11 ... je me demande ce que frank a été une surprise pour nous	1
Jason mraz est si bien en direct. J'aimerais pouvoir aller à son concert	0
Regarder un DVD et faire mes cours ... quel amusement! X	1
Aww chin up hun! tu peux le faire	0
Heureux d'entendre que vous avez passé une superbe soirée! Vous rock & amp; J'espère que ce soir, ce n'est que le 1er de nombreux spectacles de bonne foi pour vous!	1
Si mon trajet en autobus prend 42 minutes. # $% ^ Et tarte matinée aussi ...: '(	0
Je t'ai dit de ne pas avoir un garçon. Tu as rompu les règles	0
Wow, il fait froid aujourd'hui. A dû allumer la chaleur.	0
J'ai enregistré f1ftw.com comme domaine pour la compétition fantastique f1	1
De retour de Hols, je veux encore être en France	0
J'aime la glaçure chinoise, est-ce que quelqu'un a des suggestions sur de belles couleurs?	1
En sortant de la plage, on a eu de belles images mais, malheureusement, ce n'était pas assez inspiré pour tirer quelque chose	0
Vous avez apprécié que le site sam! Au moins quelqu'un l'apprécie	1
Je l'aime quand j'ai une baby-sitter pendant que je suis à la maison, c'est relaxant.	1
Je lutte contre une bataille perdue avec un cœur brisé.	0
Dear April Hall, si vous n'avez pas mary toby alvillar, je peux juste crier. Bien que ken kamata ait besoin de l'amour Sheesh.	0
Assis au travail	0
Dang! J'aurais fait cela si je savais que c'était plus tôt. D'autres sorties prévues?	0
Je dois renouveler l'ordre de retenue. Aidez-moi.	0
Nous allons vous manquer les gars quand cela finira	0
Se prépare / marche / dîne avec les filles	1
Sur le bus, il est arrivé là où je suis arrivé à la chance!	1
Merci! Mais je ne peux pas l'ouvrir! Une erreur survient	0
Baskin Robbins!	0
J'essaie de trouver un remplacement approprié pour le soda alimentaire ... mais ce grand thé glacé non sucré est brut	0
La diffusion sur le Web semble cool. Intéressé d'entendre ce que vous avez à dire sur rhino.etl car nous avons encore des projets bloqués dans ssis	0
Merci d'aller bien. Ne va pas s'arrêter cependant. Parlez plus tard x	1
La nuit dernière de la roadshow soooo triste wat vais-je faire avec moi? Oh bien église aujourd'hui et ils disent qu'il va atteindre 100 degrés cet après-midi	0
I looooove eddie cahill de csi ny	1
Va en vélo à la plage d'avila et n'a pas où mettre son téléphone. Elle doit l'abandonner pendant quelques heures	0
10x man des conseils ou des idées?	1
Café: yung joc ft gorilla zoe! Je suis dans un groove yall! Salle de bain nettoyée ... dans la chambre! Productivité du mot du jour !!!	1
L'homme aujourd'hui va très vite aujourd'hui	0
Après tout mes efforts, j'ai contraint sa grippe de toute façon. Être malade, pas cool!	0
Les taquineries et le mack 1-0 prennent des vegas par la tempête avec une autre nuit d'amusement gênant	1
Quel challenge incroyable ça va être! Hélas ... je ne peux pas peindre des images de photos ....	0
je sais je sais! ça a fait ma journée. Je suis tellement heureux! Oh vraiment? Ouais, parlez-en plus tard à maman et obtenez-vous un bak pour vous xx	1
Une bonne nouvelle - allait faire des bouffées de soleil. Mauvaises nouvelles - ont eu le premier coup de soleil de la saison.	0
Je marquage toutes mes entrées lj et amp; Je suis tombé sur un tournoi civique l'année dernière de portland avec un copain et un amant autiste; Compagnie et triste	0
Merci beaucoup pour la mention de podcasters emporium	1
Je déteste quand ppl vous utilisez et je vous jette de côté quand ils n'ont pas besoin de vous.	0
Keelers & amp; Chris's yay! Joyeux bday mr. Roche!	1
Je suce vraiment de faire des capuccinos.	0
Je déteste le temps orageux	0
Aucun compte Twitter de zombie ne me suit	0
A un rhume et travaille ... je suis triste ...	0
Fuck im bored & gt; _ & lt; rien à faire! Baise ... je pense qu'imma écoute une chance idiote	1
Écoute sa petite fille pleure ... et essaie tellement de ne pas aller la chercher hors de sa crèche. Dieu, c'est tellement dur.	0
Parle-moi en octobre	1
Vous attendez à vous lever ...	1
Ce sont horribles. Détruit totalement votre foi aux gens.	0
Sur washington ext en regardant les courses de traînée! Vie intense que je vis. Doug vit le 10 juin	0
bonne nuit	1
Non, pas ce que je sais. Je devrais l'annoter. Les diapositives sont minimales et ne contiennent pas tous les bons morceaux lol	0
Le duel: les règles de la route / le défi du monde réel a l'air goooooood	1
Plus de mandarine, plus de bébé ...	0
Je vous ai envoyé un message textuel. J'étais encore au travail et je ne pouvais pas parler. Pardon!! Je vous rappellerai bientôt. Tu me manques, madame!	0
Et adorable nous	1
Je suis horrible, hein? Je vais travailler sur ce que je promets!	0
Pense que je vais prendre ma tête au lit maintenant. Tweet plus tard	1
Personne ne se soucie de moi dans ma famille, il m'a fallu trois ans pour que ma mère m'achete des rideaux	0
tu m'as manqué aussi!	1
Des amis pour le dîner ce soir et des heures de coucher tard pour les enfants. C'est à quoi servent les horaires - des nuits amusantes pour les jeter.	1
Je passe du temps avec ma grand-mère tôt demain et je ne peux pas laisser les skittles par elle-même.	0
: Ou il vient de répondre à quelqu'un ... dougie a répondu à quelques personnes cet après-midi afin que vous ne sachiez jamais ... d'ailleurs, c'est amusant!	1
pourquoi pas?! C'est comme si je l'annonçais sur le terrain de jeu que je ne vous verrai probablement pas 2moro, qui écoute effectivement?	1
J'ai mis mon wrapper de service web c # pour mes modules python en cours de travail - Modules Python qui parlent à ma base de données et à l'iphone qui parlaient avec mes services Web	1
Bummer - après 3 ans, ma batterie macbook pro est enfin clignotante ... alimentation électrique pour mourir en 85 min	0
Regarder des journaux de princesses tout en ayant du fromage mac	1
pas un problème du tout ...	1
Je vais lui demander et lui dire tout ce qu'il faut pour vous rejoindre!	1
Conduisant à la vérification du son, souhaitant qu'il y ait une station de denver qui a diffusé le	0
Je ne compte que 140 caractères n'est pas suffisant! Il est un chat cool ... tout le temps.	1
Matin daniel !! Ce soir: les chefs kaiser. C'est une pluie sanglante.	1
Félicitations pour entrer dans oise (fais une recherche twitter pour oise pour le plaisir)	1
Eh bien, la popularité de jake - o est la fin de toute relation avec chavez - pareil avec sarkozy de france, leurs egos ne peuvent pas le prendre	1
~ Bosse ~ grrrr darn the early starts! Je n'aime pas me lever avant le soleil, il fait froid	0
Étudier la pédiatrie et écouter le nkotb (comme toujours!). Les enfants sont énervés car ils essaient de regarder la chaîne disney	1
Bonne chance mon cher! Voilà à son égarement	1
Je veux de nouveaux gommages, j'ai besoin de voir quelque chose de différent dans le miroir. J'ai besoin de courir !!!!	0
Ils valent toujours le drame qu'il faut se lancer pour les obtenir. crois ça! Je suis gentil et ivre.	1
Voici ce que j'utilise - & quot; tout le monde va vous voir en bikini en 2 mois. & Quot; Cela le fait habituellement ou va mettre ton bikini. Blec.	1
too much playing wii la ... dont bluff	1
Je me suis bien amusé sur la fête bday de Grey! Je t'aime fille!	1
Quelqu'un a-t-il des conseils pour un mal de gorge et des glandes gonflées? Lemsip me fait mal	0
Je viens de commander un imac !!! Un modèle rénové de 2008.	1
Oui, ça a été fait de l'extérieur - il suffit d'avoir tous les amis | Recherche | Mes panneaux de tweets. Hmm intéressant, peut-être qu'il se réparera plus tard	0
Pas de temps de jeu pour moi! Travail direct	0
On dirait qu'elle vient de sortir / a brisé le rétro-éclairage. Aucune excuse pour obtenir un nouveau macbook	0
Tous les films ont été supprimés de mon ipod! Ils ne sont plus plus à mon compte	0
Votre page est étrange, tout comme notre entreprise	1
je ne suis pas. J'ai eu cette excursion pour ma classe Geog ...	0
Attend le déjeuner photographié à 11h30	1
Il a l'air en colère !! Haha, il était vraiment malade et toujours en train de sentir "punchie & quot;	0
Dois écrire trois articles aujourd'hui, ugh	0
D'accord ... maintenant je suis convaincu! Vous êtes mon favori! Excellente musique blip. Thnx 4 partage!	1
Toujours regarder dans les cartes, ne semble pas bien.	0
Si je peux me replier. J'ai fini d'être curieux. Désolé, votre conversation était si intéressante!	0
Souhaite-t-elle aller voir fanclub varsity aujourd'hui!	0
ça a marché! Maintenant, j'ai le sentiment que je pourrais avoir à dormir dehors ...	1
Quel spectacle stupide regardez-vous? Lol. Non pas qu'il y ait une pénurie.	0
Ne peut plus dormir. Le visage est un peu gonflé. Ne me laissez pas être allergique à ce qui me mènera le jeudi. école demain? douteux.	0
Jim party was cool, mais je suis frustré car tous les gays sont les mêmes. Et je suis un idiot stupide. Je suis tellement seul ici à Zurich	0
Je pense que mon lait était mauvais.	0
merde. Je me sens malade.	0
A été de les voir 5 fois, me dit là-bas, en live	1
Uhh ... kay. Ou dites salut à bradie de rose ... et de sarah. Hey, vous étiez-vous dans le clip de film pour shimmy a go go ??	1
Oui oui oui à la dsi l'un des meilleurs & gadgets & quot; jamais fait.	1
Comment tout le monde a-t-il été brulé? Je suis perma-pâle	1
Pourrait avoir à faire le prochain taco dimanche. J'ai terminé une histoire et ce soir ne semble pas prometteur	0
Bonne nuit tout le monde	1
Retour à Londres	0
Hameau ... romeo n juliet ... radio: active en direct à wembley ... mcfly tour dvd's too money to me	0
Bien sûr, mais quand était-ce dernier ce court? (Réponse: je ne me souviens pas ...) et le retour est agréable et en couches (uops, x-post)	1
Dit bye text text nalang;)	1
Pense que c'est une excellente journée pour sauter à l'ouvreur de maison royale, voilà!	1
J'ai perdu ma "chance" Bracelet hier soir	0
J'ai complètement échoué à télécharger mon image mignonne ... format trop grand	0
Et d'une façon ou d'une autre, je finis encore dans ce lieu	0
A besoin d'un jour de l'étude et je le ferai grâce à un petit-frère stupide et malsain. Merci michael.	0
Oui, j'ai un froid qui m'a regardé?	0
Est-ce qu'ils utilisent microsoft bob comme leurs os ???	1
Avez-vous tweet sur les problèmes verizon fios avant? merde! Je viens de m'inscrire	0
Oui, je suis si excité à propos de son arrivée. J'espère que mon inauguration est durant son séjour	1
Je n'ai fait qu'un peu de platane de banane. N'a pas accidentellement utilisé du sel au lieu de la sucre cette fois	1
Banni des forums de sims pour le reste de la semaine. Tout se sent étrange. Je ne m'arrêtais qu'à chanel: '(	0
Une histoire très inspirante sur un poney sauvé très triste cependant	0
Ennuyé ... rien à faire	0
Je viens juste de rattraper mes devoirs d'algèbre. Maintenant pour continuer sur les 5 essais que j'ai dû.	0
Cheers tess - et merci 4 votre supposer que vous nous avez retourné plusieurs fois	1
Sky sports on laptop ..... semble être à environ 5 minutes derrière. Femme regarde Murray à la télé	0
Je pense que c'est parfaitement bien, et non parce que je suis un grand bourbon, je suis plus dans des boissons féminines	1
Je viens de rentrer de nyc. La ville était fantastique. Acheter les yankees ont été abattus	0
Merci pour le crier!	1
Avoir un repodue de recherche à cinq ans dans la bibliothèque essayant de le terminer	0
Je sais ... mais ne soyez pas jaloux! Je suis dans bs comme boooooo ... Je serai là la semaine prochaine pour jouer dans la freak party: p	0
Il était censé être chaud aujourd'hui. Maintenant il pleut	0
ouf! une longue! Aller au lit pour se préparer à un autre! Hustle hustle hustle	1
La pression des pairs est une chose) mais d'une manière intéressante, cela montre que nous sommes meilleurs que la plupart d'entre eux	1
Eggettes avec dosh!	1
J'espère que tout va bien.	0
Bonne chance avec votre conception sd! J'aimerais être là mais j'habite tout le chemin à Buffalo, je sais que tu feras un grand plaisir! Duh.	0
Vous souvenez-vous dans le grand lebowski quand maude a montré au mec un petit film appelé 'log-jammin'? Désolé, je n'ai pas pu résister	1
Et (briar copywriting) - une combinaison géniale	1
Je n'ai pas vu votre email ... hmm. Je viens de vous suivre sur Twitter, afin que vous puissiez m'indiquer vos informations si vous le souhaitez.	1
Revenir à OS x après un hiatus forcé de 5 mois avec seulement mes fenêtres et les boîtes linux me rendent un campeur heureux	1
Je suis content que je puisse faire ma part! 1 / 185k vaut ... si vous souhaitez m'aider à conquérir Twitter, je serais reconnaissant ou	1
J'ai décidé que je ne me marrirais qu'une fois, jamais. Si matt meurt, je ne me réveille pas, parce que la planification d'un mariage est horrible.	0
Je ne veux plus dormir sur le plancher, mais je ne peux vraiment pas le soigner pendant encore 3 semaines. Bien que je me sens comme ça.	0
Regardez le combat de Silva @ ufc97 ....	1
Le bal était incroyable. J'ai le garçon le plus doux au monde	1
Ont misha's! Il est terriblement beau et beaucoup plus bronzé que Castiel! Nous sommes un peu maigres, mais plus qu'indussés de faire un câlin! Est une belle étreinte	1
N'a pas mangé de mangue depuis longtemps! Je viens de manger deux yum-o!	1
Merci! Je travaille toujours sur eux, en effectuant les premiers cylons humains.	1
Révision de haine	0
Pour dm, vous devez suivre ...	1
Essayer de trouver des choses à faire lorsque vous ne pouvez que s'allonger est une position particulière est vraiment délicate	0
J'aime phineas et ferb	1
Ps. Je suis un peu ivre. Pourrait ne pas être comme "pointu" comme d'habitude.	1
crise! Inondation massive dans la maison - de la cuvette des toilettes. Tapis tout icky humide se demandant où utiliser la toilette tmr avant qu'elle ne soit réparée.	0
Je m'aime mon venti caramel light frapp. Pas de fouet.	1
Je n'ai pas assez d'argent! J'ai seulement assez d'argent pour acheter un album d'un groupe que vous avez aidé à faire célèbre (aiden) ...	0
En analysant mes finances. En ce qui concerne la façon de faire face à de la liquidité nette suffisante au bilan	1
